original,ex_predicted
Daman & Diu revokes mandatory Rakshabandhan in offices order,The Daman and Diu administration on Wednesday withdrew a circular that asked women staff to tie rakhis on male colleagues after the order triggered a backlash from employees and was ripped apart on social media.The union territory's administration was forced to retreat within 24 hours of issuing the circular that made it compulsory for its staff to celebrate Rakshabandhan at workplace.
Malaika slams user who trolled her for 'divorcing rich man' ,But to claim that Malaika married and then divorced Arbaaz for money doesn?t hold water.
'Virgin' now corrected to 'Unmarried' in IGIMS' form,"The Indira Gandhi Institute of Medical Sciences (IGIMS) in Patna amended its marital declaration form on Thursday, replacing the word ?virgin?"
Aaj aapne pakad liya: LeT man Dujana before being killed,"Security officials involved in the encounter tried their best to convince Dujana to surrender but he refused, reports say.According to reports, Dujana rejected call for surrender from an Army officer."
Hotel staff to get training to spot signs of sex trafficking,"""The initiative, spearheaded by the alumni group and backed by the Maharashtra state government, comes amid growing international recognition that hotels have a key role to play in fighting modern day slavery."
"Man found dead at Delhi police station, kin allege foul play","said a police officer.The woman went missing a few months ago, prompting her husband to file a police complaint and a habeas corpus petition at the Delhi High Court."
60-yr-old lynched over rumours she was cutting people's hair,Officials said on Friday that more ?sightings?
Chopper flying critically low led to 2015 Bombay High crash,"He alerted Captain TK Guha a little late, but even after realising that Guha wasn?t able to manage the situation, Samuel did not take control of the helicopter.AAIB recommended that ONGC, which owns Bombay High along with the helicopter operators, identify helidecks from where night flying can take place."
Congress opens 'State Bank of Tomato' in Lucknow,"Lucknow (UP): In a unique protest against the rising prices of the tomatoes, Congress opens bank called â?"
Food regulator planning leftover banks to feed hungry people,"The Food Safety and Standards Authority of India (FSSAI) is in the process of creating a network of food banking partners to collect and distribute leftover food from large parties and weddings to the hungry.A notification to create a separate category of food business operators (FBOs), who will be licensed to deal only with leftover food, has been drafted to ensure the quality of food."
Call devastated his life: Mom of boy who got 'Google' offer,"?Family evading authorities?However, Beniwal maintained that Harshit forwarded a copy of the offer letter to a teacher through WhatsApp."
19 Gurugram buildings to pay property tax over free parking,"Only 26 malls and commercial centres on Mehrauli-Gurgaon (MG) road, Golf Course Road and Sohna Road will offer free parking in their basements, the Municipal Corporation of Gurugram (MCG) announced on Wednesday.The MCG had earlier said it will waive property tax on basements if the same were used to provide free parking."
Human embryos edited to stop deadly disease for the 1st time,"Scientists have modified human embryos to remove genetic mutations that cause heart failure in otherwise healthy young people in a landmark demonstration of the controversial procedure.It is the first time that human embryos have had their genomes edited outside China, where researchers have performed a handful of small studies to see whether the approach could prevent inherited diseases from being passed on from one generation to the next.While none of the research so far has created babies from modified embryos, a move that would be illegal in many countries, the work represents a milestone in scientists?"
"Nearly 2,300 CPWD buildings in Delhi unsafe: Union Minister","As many as 2,297 residential buildings under the CPWD in Delhi have been identified as ?unsafe?, the Lok Sabha was informed on Wednesday.The number of unsafe or dangerous buildings under the New Delhi Municipal Council stands at 124, Union minister of state for home affairs Hansraj Gangaram Ahir said.Also, 17 buildings have been found ?unsafe?"
Gujarat Rajya Sabha polls to be held with NOTA option: SC,"The Supreme Court on Thursday refused to stay the Election Commission decision allowing the NOTA provision in the August 8 Rajya Sabha polls in Gujarat.A bench of justices Dipak Misra, Amitava Roy and AM Khanwilkar, however, agreed to examine the constitutional validity of the August 1 notification of the poll panel allowing the NOTA option."
Indian athlete indicted on sex abuse charge in US,"(India vs Sri Lanka Updates) Tanveer Hussain was indicted last week by an Essex County grand jury for allegedly having inappropriate contact with a 12-year-old Saranac Lake girl earlier this year.The grand jury returned the indictment Hussain charging him with one count of first-degree sexual abuse and two counts of endangering the welfare of a child, a report in the Adirondack Daily Enterprise quoted a press release from Essex County District Attorney Kristy Sprague as saying.Hussain had been arrested in March on charges of sexually abusing the minor girl, two days after he competed in the World Snowshoe Championships at Dewey Mountain Recreation Center."
Maruti spare parts trigger bomb scare at Delhi airport,"New Delhi, Aug 2 (PTI) Bomb squads and canine teams were today rushed in to check a suspect object that was recovered at the cargo hold area of the IGI airport here, later declared safe after it was found that the consignment only contained some auto spare parts."
"Virgin means unmarried, nothing offensive in it: Minister","The form also asks male employees to provide details if they have more than one wife.Women employees apart from declaring status regarding their virginity have also been asked to provide details on whether they are married to a person who has no other wife living or another wife living.Speaking to India Today, the Deputy Medical Superintendent, Dr Manish Mandal said that the marriage declaration form with the contentious questions have been in practice ever since the institute was established in 1984."
Bus seats mistaken for burqas by Norway anti-immigrant group,A Norwegian anti-immigrant group has been roundly ridiculed after members apparently mistook a photograph of six empty bus seats posted on its Facebook page for a group of women wearing burqas.
Baby 'pregnant' with malformed twin born in Maharashtra,"In a bizarre medical condition, a newborn baby in Thane was found to be ?pregnant?"
"Delhi's AIIMS, Safdarjung to be declared no-hawker zone","At the time of monsoon, there should be no traffic jam at Ring Road and Aurobindo Marg."
Noida farmers demand release of arrested counterparts ,"The farmers were staging a protest demanding a hiked compensation for the land being acquired by the government for the construction of the Eastern Peripheral Expressway.The farmers of Bil Akbarpur village marched to Dadri tehsil and asked the administration for an unconditional release of the farmers.Also, the farmers have decided to presently accept the compensation of Rs3,640 per square metre offered by the district administration for acquiring their land."
Photo shows how close flight came to crashing onto 4 planes,"The Air Canada pilots mistook the taxiway for the runway next to it and flew their jet to just 59ft (18m) above ground before pulling up to attempt another landing, according to National Transportation Safety Board information released on Wednesday.That's barely taller than the four planes that were on the taxiway when the incident occurred late at night on 7 July."
Sunbathers killed as plane hits them while landing on beach,"Two people were killed when a light plane made an emergency landing on a beach near Lisbon, Portuguese authorities have said.The two sunbathers, a 56-year-old man and an eight-year-old girl, died while others ran into the sea when the plane came down on Wednesday.Hundreds of sunbathers were on the popular São João da Caparica beach, 12 miles (20km) to the south of Lisbon, at the time."
